№,Начало,Конец,Длительность,Блок,Что звучит/смысл,Материал,Тип,Статус,Операторское действие
18,99.85,106.147,6.3,B01,"Люди на кораблях. Перевести масштаб экспедиции к людям, команде и командованию.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
19,106.147,112.444,6.3,B01,"Люди на кораблях. Перевести масштаб экспедиции к людям, команде и командованию.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
20,112.444,118.74,6.3,B01,"Люди на кораблях. Перевести масштаб экспедиции к людям, команде и командованию.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
21,118.74,125.037,6.3,B01,"Люди на кораблях. Перевести масштаб экспедиции к людям, команде и командованию.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
22,125.037,131.334,6.3,B01,"Люди на кораблях. Перевести масштаб экспедиции к людям, команде и командованию.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
23,131.334,137.631,6.3,B01,"Люди на кораблях. Перевести масштаб экспедиции к людям, команде и командованию.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
24,137.631,143.928,6.3,B01,"Люди на кораблях. Перевести масштаб экспедиции к людям, команде и командованию.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
25,143.928,150.302,6.37,B02,"Первые годы молчания. Показать, что тревога возникла поздно и время было потеряно.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
26,150.302,156.676,6.37,B02,"Первые годы молчания. Показать, что тревога возникла поздно и время было потеряно.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
27,156.676,163.05,6.37,B02,"Первые годы молчания. Показать, что тревога возникла поздно и время было потеряно.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
28,163.05,169.424,6.37,B02,"Первые годы молчания. Показать, что тревога возникла поздно и время было потеряно.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
29,169.424,175.798,6.37,B02,"Первые годы молчания. Показать, что тревога возникла поздно и время было потеряно.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
30,175.798,182.172,6.37,B02,"Первые годы молчания. Показать, что тревога возникла поздно и время было потеряно.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
31,182.172,188.546,6.37,B02,"Первые годы молчания. Показать, что тревога возникла поздно и время было потеряно.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
32,188.546,194.92,6.37,B02,Джейн Франклин и поиски. Показать личную настойчивость как двигатель расследования.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
33,194.92,201.294,6.37,B02,Джейн Франклин и поиски. Показать личную настойчивость как двигатель расследования.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
34,201.294,207.668,6.37,B02,Джейн Франклин и поиски. Показать личную настойчивость как двигатель расследования.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
35,207.668,214.042,6.37,B02,Джейн Франклин и поиски. Показать личную настойчивость как двигатель расследования.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
36,214.042,220.416,6.37,B02,Джейн Франклин и поиски. Показать личную настойчивость как двигатель расследования.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
37,220.416,226.79,6.37,B02,Джейн Франклин и поиски. Показать личную настойчивость как двигатель расследования.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
38,226.79,233.164,6.37,B02,Джейн Франклин и поиски. Показать личную настойчивость как двигатель расследования.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
39,233.164,239.065,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
40,239.065,244.966,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
41,244.966,250.867,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
42,250.867,256.768,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
43,256.768,262.669,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
44,262.669,268.57,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
45,268.57,274.471,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
46,274.471,280.372,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
47,280.372,286.273,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
48,286.273,292.174,5.9,B02,"Остров Бичи. Остров Бичи меняет понимание: катастрофа ещё не началась, но первые смерти уже есть.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
49,292.174,297.787,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
50,297.787,303.4,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
51,303.4,309.014,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
52,309.014,314.627,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
53,314.627,320.24,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
54,320.24,325.853,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
55,325.853,331.466,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
56,331.466,337.08,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
57,337.08,342.693,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
58,342.693,348.306,5.61,B03,Находка записки. Подвести к главному письменному документу экспедиции.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
59,348.306,354.351,6.05,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
60,354.351,360.396,6.05,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
61,360.396,366.441,6.04,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
62,366.441,372.486,6.05,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
63,372.486,378.531,6.05,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
64,378.531,384.576,6.05,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
65,384.576,390.621,6.04,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
66,390.621,396.666,6.05,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
67,396.666,402.711,6.05,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
68,402.711,408.756,6.04,B03,Две записи на одном листе. Показать смену смысла: от благополучной записи к сообщению о смерти и уходе.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
69,408.756,414.353,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
70,414.353,419.95,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
71,419.95,425.548,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
72,425.548,431.145,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
73,431.145,436.742,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
74,436.742,442.339,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
75,442.339,447.937,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
76,447.937,453.534,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
77,453.534,459.131,5.6,B03,Сто пять человек уходят пешком. Показать организованный уход и начало молчания.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
78,459.131,465.048,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
79,465.048,470.965,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
80,470.965,476.882,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
81,476.882,482.799,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
82,482.799,488.716,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
83,488.716,494.633,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
84,494.633,500.55,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
85,500.55,506.467,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
86,506.467,512.384,5.92,B04,"Шлюпка на санях. Начать блок материальными следами, которые не складываются в логику выживания.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
87,512.384,517.981,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
88,517.981,523.578,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
89,523.578,529.176,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
90,529.176,534.773,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
91,534.773,540.37,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
92,540.37,545.967,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
93,545.967,551.565,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
94,551.565,557.162,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
95,557.162,562.759,5.6,B04,"Странный груз. Показать, что люди тащили вещи, не увеличивавшие шансы спасения.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
96,562.759,568.372,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
97,568.372,573.985,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
98,573.985,579.599,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
99,579.599,585.212,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
100,585.212,590.825,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
101,590.825,596.438,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
102,596.438,602.051,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
103,602.051,607.665,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
104,607.665,613.278,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
105,613.278,618.891,5.61,B04,"Кости и спорные улики. Ввести признаки обработки костей через факты, без сенсационности.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
106,618.891,624.792,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
107,624.792,630.693,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
108,630.693,636.594,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
109,636.594,642.495,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
110,642.495,648.396,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
111,648.396,654.297,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
112,654.297,660.198,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
113,660.198,666.099,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
114,666.099,672.0,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
115,672.0,677.901,5.9,B05,Наука возвращается на Бичи. Показать переход расследования из Арктики в лабораторию.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
116,677.901,683.498,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
117,683.498,689.095,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
118,689.095,694.693,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
119,694.693,700.29,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
120,700.29,705.887,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
121,705.887,711.484,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
122,711.484,717.082,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
123,717.082,722.679,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
124,722.679,728.276,5.6,B05,Торрингтон и масштаб исследования. Показать уникальную сохранность тел этично и без натурализма.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
125,728.276,733.889,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
126,733.889,739.502,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
127,739.502,745.116,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
128,745.116,750.729,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
129,750.729,756.342,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
130,756.342,761.955,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
131,761.955,767.568,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
132,767.568,773.182,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
133,773.182,778.795,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
134,778.795,784.408,5.61,B05,"Свинец и новая картина. Показать, как гипотеза стала популярной и как последующие данные усложнили ответ.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
135,784.408,790.021,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
136,790.021,795.634,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
137,795.634,801.248,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
138,801.248,806.861,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
139,806.861,812.474,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
140,812.474,818.087,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
141,818.087,823.7,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
142,823.7,829.314,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
143,829.314,834.927,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
144,834.927,840.54,5.61,B06,Современные поиски. Показать возвращение поисков с технологиями и ролью свидетельств инуитов.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
145,840.54,846.166,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
146,846.166,851.793,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
147,851.793,857.419,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
148,857.419,863.045,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
149,863.045,868.671,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
150,868.671,874.298,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
151,874.298,879.924,5.63,B06,"Erebus и Terror найдены. Показать находку кораблей как начало нового этапа, а не конец расследования.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
