priority,scene_id,scene_title,visual_need,reason,prompt
4,S07,Находка записки,metal cylinder,Шот 57 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: metal cylinder. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S07,Находка записки,paper reveal,Шот 58 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: paper reveal. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S07,Находка записки,document note close,Шот 59 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: document note close. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S07,Находка записки,stone cairn,Шот 60 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: stone cairn. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S07,Находка записки,document note map,Шот 61 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: document note map. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S08,Две записи на одном листе,document text,Шот 62 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: document text. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S08,Две записи на одном листе,map route,Шот 63 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: map route. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S08,Две записи на одном листе,document note map,Шот 65 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: document note map. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S08,Две записи на одном листе,document text,Шот 66 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: document text. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S08,Две записи на одном листе,map route,Шот 67 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: map route. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S08,Две записи на одном листе,document note map,Шот 69 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: document note map. Emotion: резкая смена ожиданий. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S08,Две записи на одном листе,people snow trail,Шот 70 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,"Ultra photorealistic historical documentary frame. Scene: Две записи на одном листе. Required visual: people snow trail. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S09,Сто пять человек уходят пешком,footprints snow,Шот 71 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: footprints snow. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S09,Сто пять человек уходят пешком,white horizon,Шот 72 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: white horizon. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S09,Сто пять человек уходят пешком,sled silhouette,Шот 73 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: sled silhouette. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S09,Сто пять человек уходят пешком,people snow trail,Шот 74 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: people snow trail. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S09,Сто пять человек уходят пешком,footprints snow,Шот 75 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: footprints snow. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S09,Сто пять человек уходят пешком,white horizon,Шот 76 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: white horizon. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S09,Сто пять человек уходят пешком,sled silhouette,Шот 77 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: sled silhouette. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S09,Сто пять человек уходят пешком,people snow trail,Шот 78 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,"Ultra photorealistic historical documentary frame. Scene: Сто пять человек уходят пешком. Required visual: people snow trail. Emotion: неизвестность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S10,Шлюпка на санях,wood runners,Шот 81 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,"Ultra photorealistic historical documentary frame. Scene: Шлюпка на санях. Required visual: wood runners. Emotion: недоумение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S10,Шлюпка на санях,boat interior,Шот 82 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,"Ultra photorealistic historical documentary frame. Scene: Шлюпка на санях. Required visual: boat interior. Emotion: недоумение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S10,Шлюпка на санях,wood runners,Шот 85 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,"Ultra photorealistic historical documentary frame. Scene: Шлюпка на санях. Required visual: wood runners. Emotion: недоумение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S10,Шлюпка на санях,boat interior,Шот 86 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,"Ultra photorealistic historical documentary frame. Scene: Шлюпка на санях. Required visual: boat interior. Emotion: недоумение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S10,Шлюпка на санях,silver spoon,Шот 88 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,"Ultra photorealistic historical documentary frame. Scene: Шлюпка на санях. Required visual: silver spoon. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S11,Странный груз,object close,Шот 89 не имеет назначенного материала; нужен для сцены 'Странный груз'.,"Ultra photorealistic historical documentary frame. Scene: Странный груз. Required visual: object close. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S11,Странный груз,book archive,Шот 90 не имеет назначенного материала; нужен для сцены 'Странный груз'.,"Ultra photorealistic historical documentary frame. Scene: Странный груз. Required visual: book archive. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S11,Странный груз,rifle detail,Шот 91 не имеет назначенного материала; нужен для сцены 'Странный груз'.,"Ultra photorealistic historical documentary frame. Scene: Странный груз. Required visual: rifle detail. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S11,Странный груз,silver spoon,Шот 92 не имеет назначенного материала; нужен для сцены 'Странный груз'.,"Ultra photorealistic historical documentary frame. Scene: Странный груз. Required visual: silver spoon. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S11,Странный груз,object close,Шот 93 не имеет назначенного материала; нужен для сцены 'Странный груз'.,"Ultra photorealistic historical documentary frame. Scene: Странный груз. Required visual: object close. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S11,Странный груз,book archive,Шот 94 не имеет назначенного материала; нужен для сцены 'Странный груз'.,"Ultra photorealistic historical documentary frame. Scene: Странный груз. Required visual: book archive. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S11,Странный груз,rifle detail,Шот 95 не имеет назначенного материала; нужен для сцены 'Странный груз'.,"Ultra photorealistic historical documentary frame. Scene: Странный груз. Required visual: rifle detail. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S11,Странный груз,silver spoon,Шот 96 не имеет назначенного материала; нужен для сцены 'Странный груз'.,"Ultra photorealistic historical documentary frame. Scene: Странный груз. Required visual: silver spoon. Emotion: нарастающее непонимание. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S12,Кости и спорные улики,bone close,Шот 98 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,"Ultra photorealistic historical documentary frame. Scene: Кости и спорные улики. Required visual: bone close. Emotion: шок без акцента. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S12,Кости и спорные улики,archive folder,Шот 100 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,"Ultra photorealistic historical documentary frame. Scene: Кости и спорные улики. Required visual: archive folder. Emotion: шок без акцента. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S12,Кости и спорные улики,bone close,Шот 102 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,"Ultra photorealistic historical documentary frame. Scene: Кости и спорные улики. Required visual: bone close. Emotion: шок без акцента. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S12,Кости и спорные улики,archive folder,Шот 104 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,"Ultra photorealistic historical documentary frame. Scene: Кости и спорные улики. Required visual: archive folder. Emotion: шок без акцента. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S12,Кости и спорные улики,bone close,Шот 106 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,"Ultra photorealistic historical documentary frame. Scene: Кости и спорные улики. Required visual: bone close. Emotion: шок без акцента. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S13,Наука возвращается на Бичи,beechy camp,Шот 108 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Наука возвращается на Бичи. Required visual: beechy camp. Emotion: сосредоточенность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S13,Наука возвращается на Бичи,forensic dig,Шот 109 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Наука возвращается на Бичи. Required visual: forensic dig. Emotion: сосредоточенность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S13,Наука возвращается на Бичи,wood coffin,Шот 110 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Наука возвращается на Бичи. Required visual: wood coffin. Emotion: сосредоточенность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S13,Наука возвращается на Бичи,beechy camp,Шот 112 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Наука возвращается на Бичи. Required visual: beechy camp. Emotion: сосредоточенность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S13,Наука возвращается на Бичи,forensic dig,Шот 113 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Наука возвращается на Бичи. Required visual: forensic dig. Emotion: сосредоточенность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S13,Наука возвращается на Бичи,wood coffin,Шот 114 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Наука возвращается на Бичи. Required visual: wood coffin. Emotion: сосредоточенность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S13,Наука возвращается на Бичи,beechy camp,Шот 116 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Наука возвращается на Бичи. Required visual: beechy camp. Emotion: сосредоточенность. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S13,Наука возвращается на Бичи,archive portrait,Шот 117 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Наука возвращается на Бичи. Required visual: archive portrait. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S14,Торрингтон и масштаб исследования,medical notes,Шот 118 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: medical notes. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S14,Торрингтон и масштаб исследования,clothing detail,Шот 119 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: clothing detail. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S14,Торрингтон и масштаб исследования,archive portrait,Шот 121 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: archive portrait. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S14,Торрингтон и масштаб исследования,medical notes,Шот 122 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: medical notes. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S14,Торрингтон и масштаб исследования,clothing detail,Шот 123 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: clothing detail. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S14,Торрингтон и масштаб исследования,archive portrait,Шот 125 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: archive portrait. Emotion: удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S14,Торрингтон и масштаб исследования,lead can archive,Шот 126 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,"Ultra photorealistic historical documentary frame. Scene: Торрингтон и масштаб исследования. Required visual: lead can archive. Emotion: ответ снова сложнее. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S15,Свинец и новая картина,newspaper archive,Шот 128 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,"Ultra photorealistic historical documentary frame. Scene: Свинец и новая картина. Required visual: newspaper archive. Emotion: ответ снова сложнее. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S15,Свинец и новая картина,medical record,Шот 129 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,"Ultra photorealistic historical documentary frame. Scene: Свинец и новая картина. Required visual: medical record. Emotion: ответ снова сложнее. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S15,Свинец и новая картина,lead can archive,Шот 130 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,"Ultra photorealistic historical documentary frame. Scene: Свинец и новая картина. Required visual: lead can archive. Emotion: ответ снова сложнее. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S15,Свинец и новая картина,newspaper archive,Шот 132 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,"Ultra photorealistic historical documentary frame. Scene: Свинец и новая картина. Required visual: newspaper archive. Emotion: ответ снова сложнее. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S15,Свинец и новая картина,medical record,Шот 133 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,"Ultra photorealistic historical documentary frame. Scene: Свинец и новая картина. Required visual: medical record. Emotion: ответ снова сложнее. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S15,Свинец и новая картина,lead can archive,Шот 134 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,"Ultra photorealistic historical documentary frame. Scene: Свинец и новая картина. Required visual: lead can archive. Emotion: ответ снова сложнее. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S15,Свинец и новая картина,sonar screen,Шот 136 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,"Ultra photorealistic historical documentary frame. Scene: Свинец и новая картина. Required visual: sonar screen. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S16,Современные поиски,research vessel,Шот 137 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: research vessel. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S16,Современные поиски,satellite map,Шот 138 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: satellite map. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S16,Современные поиски,underwater robot,Шот 139 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: underwater robot. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S16,Современные поиски,sonar screen,Шот 140 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: sonar screen. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S16,Современные поиски,research vessel,Шот 141 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: research vessel. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S16,Современные поиски,satellite map,Шот 142 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: satellite map. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S16,Современные поиски,underwater robot,Шот 143 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: underwater robot. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S16,Современные поиски,sonar screen,Шот 144 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: sonar screen. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S16,Современные поиски,research vessel,Шот 145 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,"Ultra photorealistic historical documentary frame. Scene: Современные поиски. Required visual: research vessel. Emotion: осторожная надежда. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S17,Erebus и Terror найдены,shipwreck hull,Шот 147 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,"Ultra photorealistic historical documentary frame. Scene: Erebus и Terror найдены. Required visual: shipwreck hull. Emotion: открытие и удивление. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
