scene_id,shot_id,asset_id,decision,score,reason,action
S07,,,Создать материал: stone cairn,0,Шот 60 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S08,,,Создать материал: map route,0,Шот 63 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,generate_asset · waiting_api · leonardo
S08,,,Создать материал: map route,0,Шот 67 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,generate_asset · waiting_api · leonardo
S08,,,Создать материал: people snow trail,0,Шот 70 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,generate_asset · waiting_api · leonardo
S09,,,Создать материал: footprints snow,0,Шот 71 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,generate_asset · waiting_api · leonardo
S09,,,Создать материал: white horizon,0,Шот 72 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,generate_asset · waiting_api · leonardo
S09,,,Создать материал: sled silhouette,0,Шот 73 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,generate_asset · waiting_api · leonardo
S09,,,Создать материал: people snow trail,0,Шот 74 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,generate_asset · waiting_api · leonardo
S09,,,Создать материал: footprints snow,0,Шот 75 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,generate_asset · waiting_api · leonardo
S09,,,Создать материал: white horizon,0,Шот 76 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,generate_asset · waiting_api · leonardo
S09,,,Создать материал: sled silhouette,0,Шот 77 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,generate_asset · waiting_api · leonardo
S09,,,Создать материал: people snow trail,0,Шот 78 не имеет назначенного материала; нужен для сцены 'Сто пять человек уходят пешком'.,generate_asset · waiting_api · leonardo
S10,,,Создать материал: wood runners,0,Шот 81 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,generate_asset · waiting_api · leonardo
S10,,,Создать материал: boat interior,0,Шот 82 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,generate_asset · waiting_api · leonardo
S10,,,Создать материал: wood runners,0,Шот 85 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,generate_asset · waiting_api · leonardo
S10,,,Создать материал: boat interior,0,Шот 86 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,generate_asset · waiting_api · leonardo
S10,,,Создать материал: silver spoon,0,Шот 88 не имеет назначенного материала; нужен для сцены 'Шлюпка на санях'.,generate_asset · waiting_api · leonardo
S11,,,Создать материал: object close,0,Шот 89 не имеет назначенного материала; нужен для сцены 'Странный груз'.,generate_asset · waiting_api · leonardo
S11,,,Создать материал: book archive,0,Шот 90 не имеет назначенного материала; нужен для сцены 'Странный груз'.,generate_asset · waiting_api · leonardo
S11,,,Создать материал: rifle detail,0,Шот 91 не имеет назначенного материала; нужен для сцены 'Странный груз'.,generate_asset · waiting_api · leonardo
S11,,,Создать материал: silver spoon,0,Шот 92 не имеет назначенного материала; нужен для сцены 'Странный груз'.,generate_asset · waiting_api · leonardo
S11,,,Создать материал: object close,0,Шот 93 не имеет назначенного материала; нужен для сцены 'Странный груз'.,generate_asset · waiting_api · leonardo
S11,,,Создать материал: book archive,0,Шот 94 не имеет назначенного материала; нужен для сцены 'Странный груз'.,generate_asset · waiting_api · leonardo
S11,,,Создать материал: rifle detail,0,Шот 95 не имеет назначенного материала; нужен для сцены 'Странный груз'.,generate_asset · waiting_api · leonardo
S11,,,Создать материал: silver spoon,0,Шот 96 не имеет назначенного материала; нужен для сцены 'Странный груз'.,generate_asset · waiting_api · leonardo
S12,,,Создать материал: bone close,0,Шот 98 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,generate_asset · waiting_api · leonardo
S12,,,Создать материал: archive folder,0,Шот 100 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,generate_asset · waiting_api · leonardo
S12,,,Создать материал: bone close,0,Шот 102 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,generate_asset · waiting_api · leonardo
S12,,,Создать материал: archive folder,0,Шот 104 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,generate_asset · waiting_api · leonardo
S12,,,Создать материал: bone close,0,Шот 106 не имеет назначенного материала; нужен для сцены 'Кости и спорные улики'.,generate_asset · waiting_api · leonardo
S13,,,Создать материал: beechy camp,0,Шот 108 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,generate_asset · waiting_api · leonardo
S13,,,Создать материал: forensic dig,0,Шот 109 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,generate_asset · waiting_api · leonardo
S13,,,Создать материал: wood coffin,0,Шот 110 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,generate_asset · waiting_api · leonardo
S13,,,Создать материал: beechy camp,0,Шот 112 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,generate_asset · waiting_api · leonardo
S13,,,Создать материал: forensic dig,0,Шот 113 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,generate_asset · waiting_api · leonardo
S13,,,Создать материал: wood coffin,0,Шот 114 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,generate_asset · waiting_api · leonardo
S13,,,Создать материал: beechy camp,0,Шот 116 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,generate_asset · waiting_api · leonardo
S13,,,Создать материал: archive portrait,0,Шот 117 не имеет назначенного материала; нужен для сцены 'Наука возвращается на Бичи'.,generate_asset · waiting_api · leonardo
S14,,,Создать материал: clothing detail,0,Шот 119 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,generate_asset · waiting_api · leonardo
S14,,,Создать материал: archive portrait,0,Шот 121 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,generate_asset · waiting_api · leonardo
S14,,,Создать материал: clothing detail,0,Шот 123 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,generate_asset · waiting_api · leonardo
S14,,,Создать материал: archive portrait,0,Шот 125 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,generate_asset · waiting_api · leonardo
S14,,,Создать материал: lead can archive,0,Шот 126 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,generate_asset · waiting_api · leonardo
S15,,,Создать материал: newspaper archive,0,Шот 128 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,generate_asset · waiting_api · leonardo
S15,,,Создать материал: medical record,0,Шот 129 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,generate_asset · waiting_api · leonardo
S15,,,Создать материал: lead can archive,0,Шот 130 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,generate_asset · waiting_api · leonardo
S15,,,Создать материал: newspaper archive,0,Шот 132 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,generate_asset · waiting_api · leonardo
S15,,,Создать материал: medical record,0,Шот 133 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,generate_asset · waiting_api · leonardo
S15,,,Создать материал: lead can archive,0,Шот 134 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: research vessel,0,Шот 137 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: satellite map,0,Шот 138 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: research vessel,0,Шот 141 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: satellite map,0,Шот 142 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: research vessel,0,Шот 145 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S17,,,Создать материал: shipwreck hull,0,Шот 147 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,generate_asset · waiting_api · leonardo
S17,,,Создать материал: closed hatch,0,Шот 148 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,generate_asset · waiting_api · leonardo
S17,,,Создать материал: interior cabin,0,Шот 149 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,generate_asset · waiting_api · leonardo
S17,,,Создать материал: shipwreck hull,0,Шот 151 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,generate_asset · waiting_api · leonardo
S17,,,Создать материал: closed hatch,0,Шот 152 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,generate_asset · waiting_api · leonardo
S17,,,Создать материал: interior cabin,0,Шот 153 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,generate_asset · waiting_api · leonardo
S17,,,Создать материал: shipwreck hull,0,Шот 155 не имеет назначенного материала; нужен для сцены 'Erebus и Terror найдены'.,generate_asset · waiting_api · leonardo
S18,,,Создать материал: empty horizon,0,Шот 157 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,generate_asset · waiting_api · leonardo
S18,,,Создать материал: atlas logo,0,Шот 159 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,generate_asset · waiting_api · leonardo
S18,,,Создать материал: empty horizon,0,Шот 161 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,generate_asset · waiting_api · leonardo
S18,,,Создать материал: atlas logo,0,Шот 163 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,generate_asset · waiting_api · leonardo
S18,,,Создать материал: empty horizon,0,Шот 165 не имеет назначенного материала; нужен для сцены 'Финал: история сохраняет следы'.,generate_asset · waiting_api · leonardo
S05,,,Низкое покрытие сцены: Джейн Франклин и поиски,0,"Покрытие 62.5%, готово 5/8.",generate_scene_coverage · waiting_api · leonardo
S06,,,Низкое покрытие сцены: Остров Бичи,0,"Покрытие 44.4%, готово 4/9.",generate_scene_coverage · waiting_api · leonardo
S07,,,Низкое покрытие сцены: Находка записки,0,"Покрытие 0.0%, готово 0/10.",generate_scene_coverage · waiting_api · leonardo
S08,,,Низкое покрытие сцены: Две записи на одном листе,0,"Покрытие 22.2%, готово 2/9.",generate_scene_coverage · waiting_api · leonardo
S09,,,Низкое покрытие сцены: Сто пять человек уходят пешком,0,"Покрытие 11.1%, готово 1/9.",generate_scene_coverage · waiting_api · leonardo
S10,,,Низкое покрытие сцены: Шлюпка на санях,0,"Покрытие 44.4%, готово 4/9.",generate_scene_coverage · waiting_api · leonardo
S11,,,Низкое покрытие сцены: Странный груз,0,"Покрытие 11.1%, готово 1/9.",generate_scene_coverage · waiting_api · leonardo
S12,,,Низкое покрытие сцены: Кости и спорные улики,0,"Покрытие 50.0%, готово 5/10.",generate_scene_coverage · waiting_api · leonardo
S13,,,Низкое покрытие сцены: Наука возвращается на Бичи,0,"Покрытие 20.0%, готово 2/10.",generate_scene_coverage · waiting_api · leonardo
S14,,,Низкое покрытие сцены: Торрингтон и масштаб исследования,0,"Покрытие 22.2%, готово 2/9.",generate_scene_coverage · waiting_api · leonardo
S15,,,Низкое покрытие сцены: Свинец и новая картина,0,"Покрытие 30.0%, готово 3/10.",generate_scene_coverage · waiting_api · leonardo
S16,,,Низкое покрытие сцены: Современные поиски,0,"Покрытие 10.0%, готово 1/10.",generate_scene_coverage · waiting_api · leonardo
S17,,,Низкое покрытие сцены: Erebus и Terror найдены,0,"Покрытие 30.0%, готово 3/10.",generate_scene_coverage · waiting_api · leonardo
S18,,,Низкое покрытие сцены: Финал: история сохраняет следы,0,"Покрытие 44.4%, готово 4/9.",generate_scene_coverage · waiting_api · leonardo
S01,shot_0001,3d326143f59fb6fd,Повтор материала: S01_SH01_Arctic_Aerial_Master.jpg,0,Материал используется 43 раз. Это снижает визуальное разнообразие.,replace_repeated_asset · queued · operator
,,,API не подключён для автоматического исполнения,0,Подключено 0/6 сервисов. Live generation disabled.,connect_api · operator_required · operator
S01,shot_0001,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ice detail,use_asset
S01,shot_0002,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: artifact close,use_asset
S01,shot_0003,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: note close,use_asset
S01,shot_0004,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: arctic wide,use_asset
S01,shot_0005,ff13580079cf165a,Использовать S01_SH06_Deck_Detail.jpg,0.98,Материал закрывает потребность: ice detail,use_asset
S01,shot_0006,e643ed2be36718f7,Использовать S01_SH02_Erebus_Terror_Master.jpg,0.98,Материал закрывает потребность: artifact close,use_asset
S01,shot_0007,e643ed2be36718f7,Использовать S01_SH02_Erebus_Terror_Master.jpg,0.98,Материал закрывает потребность: ship ice wide,use_asset
S02,shot_0008,e643ed2be36718f7,Использовать S01_SH02_Erebus_Terror_Master.jpg,0.98,Материал закрывает потребность: ship ice video,use_asset
S02,shot_0009,e643ed2be36718f7,Использовать S01_SH02_Erebus_Terror_Master.jpg,0.98,Материал закрывает потребность: drone arctic,use_asset
S02,shot_0010,25de62c76749b7d7,Использовать franklin_video_01.mp4,0.9,Материал закрывает потребность: hull ice,use_asset
S02,shot_0011,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ship ice wide,use_asset
S02,shot_0012,25de62c76749b7d7,Использовать franklin_video_01.mp4,0.9,Материал закрывает потребность: ship ice video,use_asset
S02,shot_0013,25de62c76749b7d7,Использовать franklin_video_01.mp4,0.9,Материал закрывает потребность: drone arctic,use_asset
S02,shot_0014,25de62c76749b7d7,Использовать franklin_video_01.mp4,0.9,Материал закрывает потребность: hull ice,use_asset
S02,shot_0015,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ship ice wide,use_asset
S02,shot_0016,f453e05d61667c5a,Использовать franklin_video_02.mp4,0.9,Материал закрывает потребность: ship ice video,use_asset
S02,shot_0017,f453e05d61667c5a,Использовать franklin_video_02.mp4,0.9,Материал закрывает потребность: crew captain deck,use_asset
S03,shot_0018,d9b0998880e3d2f6,Использовать S01_SH05_Crew_Working.jpg,0.97,Материал закрывает потребность: crew working,use_asset
S03,shot_0019,f453e05d61667c5a,Использовать franklin_video_02.mp4,0.9,Материал закрывает потребность: rigging ice,use_asset
S03,shot_0020,ff13580079cf165a,Использовать S01_SH06_Deck_Detail.jpg,0.98,Материал закрывает потребность: deck detail,use_asset
S03,shot_0021,f453e05d61667c5a,Использовать franklin_video_02.mp4,0.9,Материал закрывает потребность: crew captain deck,use_asset
S03,shot_0022,d9b0998880e3d2f6,Использовать S01_SH05_Crew_Working.jpg,0.97,Материал закрывает потребность: crew working,use_asset
S03,shot_0023,871af5f461107e88,Использовать franklin_video_03.mp4,0.9,Материал закрывает потребность: rigging ice,use_asset
S03,shot_0024,ff13580079cf165a,Использовать S01_SH06_Deck_Detail.jpg,0.98,Материал закрывает потребность: deck detail,use_asset
S03,shot_0025,871af5f461107e88,Использовать franklin_video_03.mp4,0.9,Материал закрывает потребность: crew captain deck,use_asset
S03,shot_0026,871af5f461107e88,Использовать franklin_video_03.mp4,0.9,Материал закрывает потребность: archive document,use_asset
S04,shot_0027,871af5f461107e88,Использовать franklin_video_03.mp4,0.9,Материал закрывает потребность: map search,use_asset
S04,shot_0028,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ship ice wide,use_asset
S04,shot_0029,f5119851eefe452f,Использовать S01_SH04_Crew_Commander.jpg,0.98,Материал закрывает потребность: journal close,use_asset
S04,shot_0030,f5119851eefe452f,Использовать S01_SH04_Crew_Commander.jpg,0.98,Материал закрывает потребность: archive document,use_asset
S04,shot_0031,f5119851eefe452f,Использовать S01_SH04_Crew_Commander.jpg,0.98,Материал закрывает потребность: map search,use_asset
S04,shot_0032,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ship ice wide,use_asset
S04,shot_0033,f5119851eefe452f,Использовать S01_SH04_Crew_Commander.jpg,0.98,Материал закрывает потребность: journal close,use_asset
S04,shot_0034,d9b0998880e3d2f6,Использовать S01_SH05_Crew_Working.jpg,0.97,Материал закрывает потребность: archive portrait,use_asset
S05,shot_0035,d9b0998880e3d2f6,Использовать S01_SH05_Crew_Working.jpg,0.97,Материал закрывает потребность: letter document,use_asset
S05,shot_0036,ff13580079cf165a,Использовать S01_SH06_Deck_Detail.jpg,0.98,Материал закрывает потребность: map routes,use_asset
S05,shot_0037,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: search ship,use_asset
S05,shot_0041,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: search ship,use_asset
S05,shot_0042,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ice camp grave,use_asset
S06,shot_0045,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: arctic coast,use_asset
S06,shot_0046,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ice camp grave,use_asset
S06,shot_0049,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: arctic coast,use_asset
S06,shot_0050,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ice camp grave,use_asset
S08,shot_0064,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ship trapped,use_asset
S08,shot_0068,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ship trapped,use_asset
S09,shot_0079,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: boat sled ice,use_asset
S10,shot_0080,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: arctic coast,use_asset
S10,shot_0083,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: boat sled ice,use_asset
S10,shot_0084,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: arctic coast,use_asset
S10,shot_0087,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: boat sled ice,use_asset
S11,shot_0097,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: bones archive lab,use_asset
S12,shot_0099,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab table,use_asset
S12,shot_0101,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: bones archive lab,use_asset
S12,shot_0103,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab table,use_asset
S12,shot_0105,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: bones archive lab,use_asset
S12,shot_0107,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab archive,use_asset
S13,shot_0111,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab archive,use_asset
S13,shot_0115,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab archive,use_asset
S14,shot_0120,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab hands,use_asset
S14,shot_0124,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab hands,use_asset
S15,shot_0127,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab analysis,use_asset
S15,shot_0131,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab analysis,use_asset
S15,shot_0135,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: lab analysis,use_asset
S16,shot_0146,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: underwater ship,use_asset
S17,shot_0150,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: underwater ship,use_asset
S17,shot_0154,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: underwater ship,use_asset
S17,shot_0156,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ice wide finale,use_asset
S18,shot_0158,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ship memory,use_asset
S18,shot_0160,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ice wide finale,use_asset
S18,shot_0162,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ship memory,use_asset
S18,shot_0164,3d326143f59fb6fd,Использовать S01_SH01_Arctic_Aerial_Master.jpg,0.98,Материал закрывает потребность: ice wide finale,use_asset
